"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref"
1;"C1";"CP_Axial_L18.0mm_D6.5mm_P25.00mm_Horizontal";1;"100ÂµF";;
2;"C2";"CP_Axial_L18.0mm_D6.5mm_P25.00mm_Horizontal";1;"220uF";;
3;"P3";"40tex-Ell600";1;"SUPP40";;
4;"U6";"DIP-8_W7.62mm_Socket_LongPads";1;"PIC_8_PINS";;
5;"U1";"DIP-8_W7.62mm_Socket_LongPads";1;"24Cxx";;
6;"U4";"DIP-8_W7.62mm_LongPads";1;"LT1373";;
7;"P2";"DIP-28_W7.62mm_Socket_LongPads";1;"SUPP28";;
8;"U5";"DIP-18_W7.62mm_Socket_LongPads";1;"PIC_18_PINS";;
9;"U2";"DIP-14_W7.62mm_LongPads";1;"74HC125";;
10;"D2,D3,D4,D5,D11,D7,D6";"D_DO-35_SOD27_P7.62mm_Horizontal";7;"BAT43";;
11;"J1";"DSUB-9_Female_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm";1;"DB9-FEMAL";;
12;"Q3,Q2";"TO-92";2;"BC307";;
13;"Q1";"TO-92";1;"BC237";;
14;"R18";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"220";;
15;"R10";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"5,1K";;
16;"R9,R20,R19";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";3;"2.2K";;
17;"R1,R2,R3,R4,R5,R7,R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";7;"10K";;
18;"R21,R14,R13,R12";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";4;"470";;
19;"R17,R11";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"22K";;
20;"R16";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"62K";;
21;"R15";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"6.2K";;
22;"R8";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"1K";;
23;"D8";"LED_D5.0mm";1;"RED-LED";;
24;"D9";"LED_D5.0mm";1;"GREEN-LED";;
25;"D12";"LED_D5.0mm";1;"YELLOW-LED";;
26;"C4";"C_Disc_D5.1mm_W3.2mm_P5.00mm";1;"0";;
27;"C5";"C_Disc_D5.1mm_W3.2mm_P5.00mm";1;"10nF";;
28;"C7,C6";"C_Disc_D5.1mm_W3.2mm_P5.00mm";2;"100nF";;
29;"C9";"C_Disc_D5.1mm_W3.2mm_P5.00mm";1;"220nF";;
30;"D10";"D_DO-35_SOD27_P12.70mm_Horizontal";1;"SCHOTTKY";;
31;"RV1";"RV2X4";1;"1K";;
32;"P1";"Altech_AK300_1x02_P5.00mm_45-Degree";1;"CONN_2";;
33;"U3";"TO-220-3_Horizontal_TabDown";1;"7805";;
34;"C3";"C_Axial_L12.0mm_D6.5mm_P20.00mm_Horizontal";1;"22uF/25V";;
35;"L1";"L_Radial_D7.8mm_P5.00mm_Fastron_07HCP";1;"22uH";;
36;"D1";"D_DO-35_SOD27_P12.70mm_Horizontal";1;"1N4004";;
